split,accuracy,macro_f1,road_precision,road_recall,road_f1,field_precision,field_recall,field_f1,true_road_rate,pred_road_rate,true_field_rate,pred_field_rate,road_as_field_count,field_as_road_count,high_conf_error_count,collapse_flag,confusion_matrix
valid,0.9256781139111084,0.8914862499847028,0.8859315589353612,0.7817278534098974,0.8305741216795202,0.9359668382798304,0.969417161677351,0.9523983782898855,0.2330396343297047,0.20562939796716184,0.7669603656702954,0.7943706020328382,6766,3120,4182,False,"[[24232, 6766], [3120, 98898]]"
test,0.9123121611560282,0.8706206603901558,0.8003993960352638,0.7939798038363047,0.797176676045406,0.9430175063477215,0.9451141112182578,0.9440646447349057,0.2170384119294051,0.2152976583718711,0.7829615880705949,0.7847023416281289,4264,4098,3607,False,"[[16433, 4264], [4098, 70566]]"
