split,accuracy,macro_f1,road_precision,road_recall,road_f1,field_precision,field_recall,field_f1,true_road_rate,pred_road_rate,true_field_rate,pred_field_rate,road_as_field_count,field_as_road_count,high_conf_error_count,collapse_flag,confusion_matrix
valid,0.9280387321825946,0.8951110784296621,0.8897053473990542,0.7890186463642815,0.8363424976063466,0.9380247521937721,0.9702797545531181,0.9538796592529777,0.2330396343297047,0.20666686714380225,0.7669603656702954,0.7933331328561978,6540,3032,3687,False,"[[24458, 6540], [3032, 98986]]"
test,0.9223372238126698,0.8854926037590827,0.8230518691361626,0.81804126201865,0.8205389163516527,0.9496456745554218,0.9512482588663881,0.9504462911665128,0.2170384119294051,0.2157171170604335,0.7829615880705949,0.7842828829395665,3766,3640,2888,False,"[[16931, 3766], [3640, 71024]]"
