split,accuracy,macro_f1,road_precision,road_recall,road_f1,field_precision,field_recall,field_f1,true_road_rate,pred_road_rate,true_field_rate,pred_field_rate,road_as_field_count,field_as_road_count,high_conf_error_count,collapse_flag,confusion_matrix
valid,0.9234227461358032,0.8883198324617685,0.8791721323422241,0.778372798245048,0.8257075390985935,0.9349259273292161,0.9674959320904154,0.9509321258249434,0.2330396343297047,0.2063210440849221,0.7669603656702954,0.7936789559150779,6870,3316,4218,False,"[[24128, 6870], [3316, 98702]]"
test,0.9071737922211386,0.8663119050995857,0.7699038417718634,0.8162535633183553,0.7924015009380863,0.9482007137214307,0.9323770491803278,0.9402223092610851,0.2170384119294051,0.2301045500781242,0.7829615880705949,0.7698954499218759,3803,5049,3019,False,"[[16894, 3803], [5049, 69615]]"
