group,valid_accuracy,valid_macro_f1,valid_road_f1,valid_field_f1,test_accuracy,test_macro_f1,test_road_f1,test_field_f1,pred_road_rate,pred_field_rate,collapse_flag,road_as_field,field_as_road,long_road_as_field_segments,long_field_as_road_segments,high_conf_error,notes
PT2G_finetune_40ep,0.8809241349661838,0.8193466190207233,0.7138753906461694,0.9248178473952771,0.9003471020647854,0.8496406224703692,0.7623239876947703,0.9369572572459682,0.20224200669036607,0.7977579933096339,False,,,,,,PT2G baseline; missing_error_analysis
PT2G_MSC_v1_finetune_40ep,0.9250240867744961,0.8888196998197027,0.8253751466442542,0.9522642529951513,0.9160558299514476,0.8761072669054182,0.8057557448254107,0.9464587889854258,0.2151193884292321,0.7848806115707679,False,4094,3911,42,44,2818,PT2G + MSC
PT2G_MSC_SD_v1_finetune_40ep,0.9256781443080613,0.8914862499847028,0.8305741216795202,0.9523983782898855,0.9123121611560282,0.8706206603901558,0.797176676045406,0.9440646447349057,0.2152976583718711,0.7847023416281289,False,4264,4098,48,35,3607,PT2G + MSC + SD
PT2G_MSC_RC_v1_finetune_40ep,0.9280387641140704,0.8951110784296621,0.8363424976063466,0.9538796592529777,0.9223372238126698,0.8854926037590827,0.8205389163516527,0.9504462911665128,0.2157171170604335,0.7842828829395665,False,3766,3640,41,38,2888,PT2G + MSC + RC
PT2G_MSC_RCSD_v1_finetune_40ep,0.9234227757963576,0.8883198324617685,0.8257075390985935,0.9509321258249434,0.9071737922211386,0.8663119050995857,0.7924015009380863,0.9402223092610851,0.2301045500781242,0.7698954499218759,False,3803,5049,40,58,3019,PT2G + MSC + RC + SD
