group,pretrain_type,finetune_run,valid_accuracy,valid_macro_f1,valid_road_f1,valid_field_f1,best_epoch,pred_road_rate,notes
PT0_no_pretrain,none,PT0_no_pretrain_40ep,0.856393,0.763970,0.616272,0.911668,32,0.141201,completed
PT1_current_pretrain,current_masked,PT1_current_finetune_40ep,0.855574,0.752381,0.592530,0.912232,33,0.121406,completed
